   	-> LOADING ARTICLES... <- 20230209_151103
   	-> ARTICLES LOADED... <- 20230209_151252
   	-> SENDING ARTICLES TO SAGE X3 <- 20230209_151304
Checking connection to SAGE X3... 20230209_151304
1 Art OK : 20230209_151710
1 Art OK : 20230209_151710
1 Art OK : 20230209_151711
1 Art OK : 20230209_151711
1 Art OK : 20230209_151711
1 Art OK : 20230209_151712
1 Art OK : 20230209_151712
1 Art OK : 20230209_151712
1 Art OK : 20230209_151713
1 Art OK : 20230209_151713
1 Art OK : 20230209_151713
1 Art OK : 20230209_151714
1 Art OK : 20230209_151714
1 Art OK : 20230209_151714
1 Art OK : 20230209_151715
1 Art OK : 20230209_151715
1 Art OK : 20230209_151715
1 Art OK : 20230209_151715
1 Art OK : 20230209_151716
1 Art OK : 20230209_151716
1 Art OK : 20230209_151716
1 Art OK : 20230209_151717
1 Art OK : 20230209_151717
1 Art OK : 20230209_151717
1 Art OK : 20230209_151718
1 Art OK : 20230209_151718
1 Art OK : 20230209_151718
1 Art OK : 20230209_151718
1 Art OK : 20230209_151719
1 Art OK : 20230209_151719
1 Art OK : 20230209_151720
1 Art OK : 20230209_151720
1 Art OK : 20230209_151720
1 Art OK : 20230209_151721
1 Art OK : 20230209_151721
1 Art OK : 20230209_151721
1 Art OK : 20230209_151722
1 Art OK : 20230209_151722
1 Art OK : 20230209_151722
1 Art OK : 20230209_151723
1 Art OK : 20230209_151723
1 Art OK : 20230209_151723
1 Art OK : 20230209_151724
1 Art OK : 20230209_151724
1 Art OK : 20230209_151724
1 Art OK : 20230209_151725
1 Art OK : 20230209_151725
1 Art OK : 20230209_151725
1 Art OK : 20230209_151726
1 Art OK : 20230209_151726
1 Art OK : 20230209_151726
1 Art OK : 20230209_151727
1 Art OK : 20230209_151727
1 Art OK : 20230209_151727
1 Art OK : 20230209_151728
1 Art OK : 20230209_151728
1 Art OK : 20230209_151728
1 Art OK : 20230209_151729
1 Art OK : 20230209_151729
1 Art OK : 20230209_151729
1 Art OK : 20230209_151730
1 Art OK : 20230209_151730
1 Art OK : 20230209_151730
1 Art OK : 20230209_151731
1 Art OK : 20230209_151731
1 Art OK : 20230209_151731
1 Art OK : 20230209_151732
Error X3 : Format incorrect : 20230209_151732
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151732
Error X3 : Vérifiez les coefficients rattachés à cette unité ! : 20230209_151732
Error X3 : Attention, la modification de l'unité d'achat ou du coefficient ne doit se faire que si aucun document actif ne l'utilise ! : 20230209_151732
Error X3 : Format incorrect : 20230209_151732
Error X3 : Erreur zone [M:ITM0]ITMREF : 20230209_151732
1 Art OK : 20230209_151732
1 Art OK : 20230209_151733
1 Art OK : 20230209_151733
1 Art OK : 20230209_151733
1 Art OK : 20230209_151734
1 Art OK : 20230209_151734
1 Art OK : 20230209_151734
1 Art OK : 20230209_151735
1 Art OK : 20230209_151735
1 Art OK : 20230209_151735
1 Art OK : 20230209_151736
1 Art OK : 20230209_151736
